game_id,game_date,season_year,home_team_code,away_team_code,pitcher_team,total_pa,total_pitches,avg_speed,max_speed,min_speed,innings_pitched,days_rest
20250802LGSS02025,2025-08-02,2025,SS,LG,away,24,89,136.02247191011236,148.0,117.0,7,6.0
20250808SSKT02025,2025-08-08,2025,KT,SS,away,27,93,135.9247311827957,148.0,121.0,8,6.0
20250814HTSS02025,2025-08-14,2025,SS,HT,away,28,90,136.48888888888888,148.0,119.0,6,6.0
20250820SSNC02025,2025-08-20,2025,NC,SS,away,23,94,137.5744680851064,149.0,117.0,6,6.0
20250826SSOB02025,2025-08-26,2025,OB,SS,away,20,85,136.49411764705883,150.0,114.0,6,6.0
20250831SSHH02025,2025-08-31,2025,HH,SS,away,27,90,138.33333333333334,149.0,116.0,6,5.0
20250907HHSS02025,2025-09-07,2025,SS,HH,away,30,101,140.11881188118812,150.0,123.0,7,7.0
20250913KTSS02025,2025-09-13,2025,SS,KT,away,20,88,137.8409090909091,149.0,115.0,6,6.0
20250920SSLG02025,2025-09-20,2025,LG,SS,away,26,90,136.5888888888889,150.0,122.0,6,7.0
20250926SSLT02025,2025-09-26,2025,LT,SS,away,28,99,137.14141414141415,150.0,118.0,6,6.0
